Kantone,kode,Total,Mann,Frau,TotalCH,MannCH,FrauCH,TotalAU,MannAU,FrauAU
Waadt,VD,761446,373187,388259,509124,240672,268452,252322,132515,119807
Wallis,VS,331763,164399,167364,256485,124294,132191,75278,40105,35173
Genf,GE,477385,230606,246779,281897,130967,150930,195488,99639,95849
Bern,BE,1009418,494008,515410,857915,413769,444146,151503,80239,71264
Freiburg,FR,303377,151587,151790,238449,116923,121526,64928,34664,30264
Solothurn,SO,263719,131036,132683,208749,101847,106902,54970,29189,25781
Neuenburg,NE,177327,86540,90787,132575,62502,70073,44752,24038,20714
Jura,JU,72410,35742,36668,62284,30314,31970,10126,5428,4698
Basel-Stadt,BS,190580,91760,98820,124274,57390,66884,66306,34370,31936
Basel-Landschaft,BL,281301,137719,143582,221378,106250,115128,59923,31469,28454
Aargau,AG,645277,323221,322056,491344,240541,250803,153933,82680,71253
Zürich,ZH,1446354,717702,728652,1073065,519044,554021,373289,198658,174631
Glarus,GL,39794,20136,19658,30798,15088,15710,8996,5048,3948
Schaffhausen,SH,79417,39111,40306,59542,28589,30953,19875,10522,9353
Appenzell A.Rh.,AR,54064,27271,26793,45763,22739,23024,8301,4532,3769
Appenzell I.Rh.,AI,15854,8121,7733,14169,7186,6983,1685,935,750
St.Gallen,SG,495824,247516,248308,380500,185261,195239,115324,62255,53069
Graubünden,GR,195886,97752,98134,160497,78422,82075,35389,19330,16059
Thurgau,TG,263733,132602,131131,200849,98624,102225,62884,33978,28906
Luzern,LU,394604,195965,198639,325336,159036,166300,69268,36929,32339
Uri,UR,36008,18399,17609,31864,15983,15881,4144,2416,1728
Schwyz,SZ,152759,78152,74607,122299,61638,60661,30460,16514,13946
Obwalden,OW,36834,18693,18141,31609,15786,15823,5225,2907,2318
Nidwalden,NW,42080,21481,20599,36363,18321,18042,5717,3160,2557
Zug,ZG,120089,60633,59456,88446,43582,44864,31643,17051,14592
Tessin,TI,350363,170541,179822,253633,119070,134563,96730,51471,45259
